Time resolution is 1 ps
Time=0, HSync=x, VSync=x, R=000x, G=0000, B=0000
Time=0, HSync=1, VSync=1, R=0000, G=0000, B=0000
Warning : input CLKIN1 period and attribute CLKIN1_PERIOD on PLLE2_ADV instance VgaTopLevel_tb._Vga._VgaPll.inst.plle2_adv_inst are not same.
Time=555, HSync=0, VSync=0, R=0000, G=0000, B=0000
Time=5355, HSync=1, VSync=0, R=0000, G=0000, B=0000
Time=40555, HSync=0, VSync=0, R=0000, G=0000, B=0000
Time=45355, HSync=1, VSync=0, R=0000, G=0000, B=0000
Time=80555, HSync=0, VSync=1, R=0000, G=0000, B=0000
Time=85355, HSync=1, VSync=1, R=0000, G=0000, B=0000
Time=120555, HSync=0, VSync=1, R=0000, G=0000, B=0000
Time=125355, HSync=1, VSync=1, R=0000, G=0000, B=0000
Time=160555, HSync=0, VSync=1, R=0000, G=0000, B=0000
Time=165355, HSync=1, VSync=1, R=0000, G=0000, B=0000
Time=200555, HSync=0, VSync=1, R=0000, G=0000, B=0000
Time=205355, HSync=1, VSync=1, R=0000, G=0000, B=0000
Time=240555, HSync=0, VSync=1, R=0000, G=0000, B=0000
Time=245355, HSync=1, VSync=1, R=0000, G=0000, B=0000
Time=280555, HSync=0, VSync=1, R=0000, G=0000, B=0000
Time=285355, HSync=1, VSync=1, R=0000, G=0000, B=0000
Time=320555, HSync=0, VSync=1, R=0000, G=0000, B=0000
Time=325355, HSync=1, VSync=1, R=0000, G=0000, B=0000
Time=360555, HSync=0, VSync=1, R=0000, G=0000, B=0000
Time=365355, HSync=1, VSync=1, R=0000, G=0000, B=0000
Time=400555, HSync=0, VSync=1, R=0000, G=0000, B=0000
Time=405355, HSync=1, VSync=1, R=0000, G=0000, B=0000
Time=440555, HSync=0, VSync=1, R=0000, G=0000, B=0000
Time=445355, HSync=1, VSync=1, R=0000, G=0000, B=0000
Time=480555, HSync=0, VSync=1, R=0000, G=0000, B=0000
Time=485355, HSync=1, VSync=1, R=0000, G=0000, B=0000
Time=520555, HSync=0, VSync=1, R=0000, G=0000, B=0000
